Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  5.41      2.18     2.18 808095229     0.00     0.00  caml_curry3
  5.11      4.24     2.06 1289496948     0.00     0.00  caml_apply2
  4.81      6.18     1.94 808095597     0.00     0.00  caml_curry3_1
  4.27      7.90     1.72    33910     0.00     0.00  mark_slice
  3.95      9.49     1.59 113916726     0.00     0.00  compare_val
  3.85     11.04     1.55 649999660     0.00     0.00  caml_curry3_2
  3.47     12.44     1.40 206667186     0.00     0.00  camlPlanck__Pbase__bind_2267
  2.58     13.48     1.04    90407     0.00     0.00  caml_oldify_mopup
  2.28     14.40     0.92    57353     0.00     0.00  sweep_slice
  2.18     15.28     0.88 154587703     0.00     0.00  camlPervasives__$5e_1112
  1.86     16.03     0.75 149017308     0.00     0.00  caml_oldify_one
  1.70     16.71     0.69 284662918     0.00     0.00  caml_alloc_string
  1.49     17.32     0.60    90407     0.00     0.00  caml_oldify_local_roots
  1.35     17.86     0.55 446440674     0.00     0.00  caml_blit_string
  1.32     18.39     0.53 350518785     0.00     0.00  caml_curry2_1
  1.27     18.90     0.51                             caml_c_call
  1.19     19.38     0.48 284654564     0.00     0.00  caml_create_string
  1.19     19.86     0.48 221498106     0.00     0.00  caml_modify
  1.14     20.32     0.46 130986291     0.00     0.00  caml_alloc_shr
  1.12     20.77     0.45 379987382     0.00     0.00  camlPlanck__Lazylist__desc_1048
  1.12     21.22     0.45 88127372     0.00     0.00  camlPlanck__Pbase__position_2395
  1.10     21.66     0.45 379989482     0.00     0.00  caml_obj_tag
  1.04     22.09     0.42 130988370     0.00     0.00  caml_fl_allocate
  1.04     22.50     0.42 64840021     0.00     0.00  caml_make_vect
  0.99     22.91     0.40 132030316     0.00     0.00  caml_fl_merge_block
  0.97     23.30     0.39 246156275     0.00     0.00  caml_curry2
  0.97     23.68     0.39 51809173     0.00     0.00  camlPlanck__Pbase__result_2467
  0.92     24.05     0.37 220332283     0.00     0.00  camlPlanck__Stream__position_1140
  0.92     24.43     0.37 107306872     0.00     0.00  camlPrintf__doprn_1360
  0.92     24.80     0.37 53663155     0.00     0.00  camlPrintf__scan_format_1278
  0.87     25.14     0.35 130671616     0.00     0.00  camlBuffer__add_char_1072
  0.84     25.48     0.34 12677247     0.00     0.00  camlPlanck__Pbase__$3c$7c$3e_2519
  0.79     25.80     0.32 64358058     0.00     0.00  camlString__sub_1046
  0.79     26.12     0.32 40103443     0.00     0.00  camlPlanck__Pbase__$3c$3f$3e_2410
  0.74     26.43     0.30  6152635     0.00     0.00  camlPlanck__Pbase__$3c$21$3e_2532
  0.72     26.71     0.29 57278465     0.00     0.00  camlPlanck__Pbase__stream_2406
  0.69     27.00     0.28 53653436     0.00     0.00  camlPrintf__pr_1354
  0.67     27.27     0.27 45116655     0.00     0.00  camlPlanck__Pbase__$3c$3f$40$3e_2422
  0.62     27.52     0.25 53653436     0.00     0.00  camlBuffer__add_string_1082
