Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  4.52      4.79     4.79 107947473     0.00     0.00  compare_val
  4.44      9.50     4.71 460762847     0.00     0.00  caml_apply2
  3.28     12.98     3.48    17164     0.00     0.00  mark_slice
  2.41     15.53     2.55 231536836     0.00     0.00  caml_curry3_2
  2.32     17.99     2.46 91988461     0.00     0.00  camlPervasives__$5e_1112
  2.19     20.32     2.33 358120875     0.00     0.00  caml_obj_tag
  1.94     22.38     2.06 224389539     0.00     0.00  caml_curry3_1
  1.93     24.43     2.05 240100803     0.00     0.00  caml_curry2_1
  1.89     26.43     2.00 187760356     0.00     0.00  caml_modify
  1.81     28.35     1.92    29969     0.00     0.00  sweep_slice
  1.80     30.26     1.91 224389171     0.00     0.00  caml_curry3
  1.78     32.15     1.89 74641210     0.00     0.00  caml_alloc_shr
  1.75     34.01     1.86 245737674     0.00     0.00  caml_blit_string
  1.74     35.85     1.84 40373291     0.00     0.00  camlPlanck__Pbase__tokenp_2417
  1.71     37.66     1.81 358118775     0.00     0.00  camlPlanck__Lazylist__desc_1048
  1.62     39.38     1.72                             caml_c_call
  1.57     41.04     1.66    46563     0.00     0.00  caml_oldify_mopup
  1.55     42.68     1.64 198464266     0.00     0.00  camlPlanck__Stream__position_1140
  1.53     44.30     1.62 88385081     0.00     0.00  caml_oldify_one
  1.45     45.84     1.54 152733564     0.00     0.00  caml_alloc_string
  1.29     47.21     1.37 88127140     0.00     0.00  camlPlanck__Pbase__position_2384
  1.25     48.53     1.32 176419008     0.00     0.00  caml_curry2
  1.08     49.67     1.14 10108551     0.00     0.00  camlPlanck__Pbase__$3c$7c$3e_2574
  1.06     50.79     1.12 87841040     0.00     0.00  camlBuffer__add_char_1072
  1.06     51.91     1.12 40103347     0.00     0.00  camlPlanck__Pbase__$3c$3f$3e_2399
  0.99     52.96     1.05  6152619     0.00     0.00  camlPlanck__Pbase__$3c$21$3e_2587
  0.98     54.00     1.04 45116559     0.00     0.00  camlPlanck__Pbase__$3c$3f$40$3e_2411
  0.96     55.02     1.02 51809093     0.00     0.00  camlPlanck__Pbase__result_2479
  0.96     56.03     1.01 74642773     0.00     0.00  caml_fl_allocate
  0.84     56.92     0.89 27944747     0.00     0.00  camlPlphelper__t_2476
  0.82     57.80     0.87 41562957     0.00     0.00  camlPlanck__Pbase__bind_2260
  0.82     58.66     0.87    46563     0.00     0.00  caml_oldify_local_roots
  0.80     59.52     0.85 27965513     0.00     0.00  camlPlanck__Pbase__token_2450
  0.78     60.34     0.83 75936272     0.00     0.00  camlPlanck__Stream__peek_1125
  0.78     61.17     0.83 19926275     0.00     0.00  camlPrintf__scan_conv_1293
  0.77     61.99     0.82 39833112     0.00     0.00  camlPrintf__doprn_1360
  0.76     62.80     0.81 31103117     0.00     0.00  caml_make_vect
  0.74     63.59     0.78 27944747     0.00     0.00  camlPlphelper__fun_2801
  0.69     64.32     0.73 152725211     0.00     0.00  caml_create_string
  0.69     65.05     0.73 22195879     0.00     0.00  camlPlphelper__with_position_2535
  0.64     65.73     0.68 45366836     0.00     0.00  camlPlanck__Pbase__error_2386
  0.64     66.41     0.68  9490489     0.00     0.00  camlPlanck__Pbuffer__string_2768
  0.61     67.06     0.65 47455782     0.00     0.00  camlPlanck__Pbase__take_2376
  0.58     67.68     0.62 27944747     0.00     0.00  camlToken__last_position_2971
  0.58     68.30     0.62 19916556     0.00     0.00  camlPrintf__pr_1354
  0.58     68.91     0.61 27944747     0.00     0.00  camlPlphelper__case_2471
  0.57     69.51     0.60 75012443     0.00     0.00  caml_fl_merge_block
  0.57     70.11     0.60                             camlSexplib__Pre_sexp__loop_1114
  0.55     70.69     0.58 10117835     0.00     0.00  camlPlanck__Sbuffer__substr_1210
  0.53     71.25     0.56 19926275     0.00     0.00  camlPrintf__scan_format_1278
  0.53     71.81     0.56 10789263     0.00     0.00  camlHashtbl__replace_1112
  0.51     72.35     0.54 61713657     0.00     0.00  caml_equal
  0.50     72.88     0.53 23222241     0.00     0.00  hash_aux
  0.49     73.40     0.52 123635813     0.00     0.00  caml_tuplify3
  0.48     73.91     0.51 74641210     0.00     0.00  allocate_block
  0.48     74.42     0.51      285     0.00     0.00  caml_compact_heap
  0.46     74.91     0.49 30621098     0.00     0.00  camlString__sub_1046
  0.42     75.36     0.45 12418767     0.00     0.00  camlHashtbl__find_1093
  0.42     75.80     0.44 47234941     0.00     0.00  caml_apply3
  0.41     76.23     0.43 57278385     0.00     0.00  camlPlanck__Pbase__stream_2395
  0.41     76.66     0.43 20043529     0.00     0.00  caml_curry4_3
  0.41     77.09     0.43  9490489     0.00     0.00  camlPlanck__Pbuffer__prefix_2738
  0.40     77.51     0.42 19916556     0.00     0.00  camlPrintf__get_cont_1408
  0.40     77.93     0.42  9488744     0.00     0.00  camlPlanck__Pbuffer__fun_3218
  0.38     78.33     0.40 10117835     0.00     0.00  camlPlanck__Sbuffer__substr_1204
  0.37     78.72     0.39 39562496     0.00     0.00  camlPlanck__Pbase__throw_2389
  0.37     79.11     0.39 37711962     0.00     0.00  camlPlanck__Position__add_columns_1215
  0.37     79.50     0.39 19916556     0.00     0.00  camlBuffer__add_string_1082
  0.36     79.88     0.38 31103419     0.00     0.00  caml_alloc_small
  0.36     80.26     0.38 25789059     0.00     0.00  camlPlanck__Pbase__stop_2242
  0.36     80.64     0.38  9387382     0.00     0.00  camlString__escaped_1080
  0.35     81.01     0.37 30112017     0.00     0.00  camlString__blit_1056
  0.35     81.38     0.37 27944747     0.00     0.00  camlToken__last_position_2664
  0.34     81.74     0.36 109036156     0.00     0.00  camlPlanck__Sbuffer__position_of_buf_1086
  0.34     82.10     0.36  5984336     0.00     0.00  camlPlanck__Pbase__token_result_2438
  0.33     82.45     0.35                             camlSexplib__Pre_sexp__is_special_char_1109
  0.32     82.79     0.34 53325097     0.00     0.00  caml_darken
  0.32     83.13     0.34 17694096     0.00     0.00  camlPlphelper__token_2545
  0.32     83.47     0.34  9275900     0.00     0.00  camlPlanck__Pbuffer__matched_2779
  0.32     83.81     0.34  1340120     0.00     0.00  camlLex__ocaml_token_2946
  0.31     84.14     0.33 19916556     0.00     0.00  camlPrintf__cont_s_1361
  0.31     84.47     0.33  9490489     0.00     0.00  camlPlanck__Pbuffer__fun_3252
  0.31     84.80     0.33  9476277     0.00     0.00  camlPrintf__scan_fmt_1144
  0.31     85.13     0.33  9471418     0.00     0.00  caml_apply6
  0.30     85.45     0.32 15320519     0.00     0.00  camlPlanck__Sbuffer__create_1194
  0.30     85.77     0.32 10125928     0.00     0.00  camlBuffer__add_substring_1076
  0.28     86.07     0.30 89428110     0.00     0.00  camlToken__position_of_attr_2460
  0.28     86.37     0.30 25789059     0.00     0.00  camlPlanck__Pbase__start_2241
  0.28     86.67     0.30  8468001     0.00     0.00  camlPlphelper__fun_2778
  0.26     86.95     0.28 20148132     0.00     0.00  camlBuffer__create_1039
  0.26     87.23     0.28 17694112     0.00     0.00  camlToken__show_2416
  0.25     87.50     0.27  9903246     0.00     0.00  camlPlanck__Pbuffer__bytes_2733
  0.25     87.77     0.27  6262956     0.00     0.00  camlPlanck__Smemo__memoize_1117
  0.25     88.03     0.26                             caml_string_compare
  0.24     88.28     0.25 20043531     0.00     0.00  caml_curry4_2
  0.24     88.53     0.25 18403299     0.00     0.00  caml_is_printable
  0.23     88.77     0.24 31074300     0.00     0.00  camlPlanck__Pbase__fun_2893
  0.22     89.00     0.23 19926275     0.00     0.00  camlPrintf__scan_positional_1291
  0.21     89.22     0.22 49510534     0.00     0.00  camlInput__buf_2019
  0.21     89.44     0.22 19918985     0.00     0.00  camlPrintf__fun_1572
  0.20     89.65     0.21 19926275     0.00     0.00  camlPrintf__got_spec_1297
  0.20     89.86     0.21 19419299     0.00     0.00  camlPlanck__Sbuffer__bytes_1182
  0.19     90.06     0.20  2952928     0.00     0.00  camlPlanck__Pbuffer__fun_3308
  0.18     90.25     0.20  5434932     0.00     0.00  caml_obj_set_tag
  0.18     90.44     0.19   388580     0.00     0.00  camlPlparser__method_simple_expr_nonleftrec_9700
  0.18     90.64     0.19   223794     0.00     0.00  camlLex__fun_4954
  0.17     90.81     0.18 42056332     0.00     0.00  invert_pointer_at
  0.17     91.00     0.18 29402552     0.00     0.00  camlPrintf__index_of_int_1037
  0.17     91.17     0.18 25795149     0.00     0.00  camlInput__equal_elem_1863
  0.17     91.36     0.18 17694112     0.00     0.00  camlToken__sexp_of_t_2380
  0.17     91.53     0.18  1340120     0.00     0.00  camlLex__fun_4759
  0.16     91.70     0.17 22717544     0.00     0.00  compact_allocate
  0.16     91.88     0.17  9471418     0.00     0.00  camlPrintf__sprintf_1413
  0.16     92.05     0.17                             camlSpotlib__Monad__ignore_1195
  0.15     92.20     0.16 23222241     0.00     0.00  caml_hash_univ_param
  0.15     92.36     0.16  5434932     0.00     0.00  camlCamlinternalLazy__force_lazy_block_1032
  0.14     92.52     0.15 38961874     0.00     0.00  camlPlanck__Sbuffer__advance_char_1184
  0.14     92.67     0.15 19926275     0.00     0.00  camlPrintf__get_arg_1288
  0.14     92.81     0.15 16312791     0.00     0.00  camlToken__equal_elem_2422
  0.14     92.97     0.15 16060227     0.00     0.00  caml_string_length
  0.14     93.11     0.15  9471418     0.00     0.00  camlPrintf__mkprintf_1345
